#UVI/KLIB ir standard photometry
# 1  2   3    4    5      6       7    8
#uvi km  type pl    V-J   V-H   V-K  V-L  
  1  1 'O5V'  50  -0.71 -0.87 -0.91 -0.98 
  2  5 'O9V'  50  -0.69 -0.83 -0.87 -0.93 
  3  5 'B0V'  50  -0.67 -0.79 -0.83 -0.89 
  4  0 'B1V'  50  -0.61 -0.71 -0.74 -0.79 
  5  5 'B3V'  50  -0.46 -0.54 -0.56 -0.61 
  6  0 'B57V' 50  -0.30 -0.35 -0.36 -0.40 
  7  0 'B8V'  50  -0.21 -0.24 -0.24 -0.28 
  8  0 'B9V'  50  -0.12 -0.13 -0.13 -0.16 
  9 11 'A0V'  50   0.00  0.00  0.00  0.00 
 10  1 'A2V'  50   0.00  0.01  0.02  0.03 
 11  1 'A3V'  50   0.05  0.08  0.10  0.11 
 12  0 'A5V'  50   0.30  0.36  0.38  0.40 
 13  0 'A7V'  50   0.38  0.47  0.50  0.53 
 14  0 'F0V'  50   0.54  0.67  0.70  0.73 
 15  1 'F2V'  50   0.61  0.78  0.82  0.85 
 16  1 'F5V'  50   0.83  1.06  1.10  1.14 
 17  0 'wF5V' 51   0.78  1.01  1.05  1.09 
 18  3 'F6V'  50   0.90  1.16  1.21  1.25 
 19  0 'rF6V' 53   0.95  1.21  1.26  1.30 
 20  5 'F8V'  50   1.01  1.31  1.35  1.40 
 21  0 'wF8V' 51   0.96  1.26  1.30  1.35 
 22  0 'rF8V' 53   1.05  1.36  1.40  1.45 
#uvi km  type pl    V-J   V-H   V-K  V-L  
 23  5 'G0V'  50   1.01  1.36  1.41  1.46 
 24  0 'wG0V' 51   0.96  1.31  1.36  1.41 
 25  0 'rG0V' 53   1.08  1.40  1.46  1.51 
 26  3 'G2V'  50   1.09  1.41  1.46  1.51 
 27  1 'G5V'  50   1.18  1.52  1.59  1.64 
 28  0 'wG5V' 51   1.14  1.47  1.54  1.59 
 29  0 'rG5V' 53   1.21  1.58  1.64  1.69 
 30  5 'G8V'  50   1.33  1.73  1.80  1.85 
 31  4 'wK0V' 51   1.37  1.82  1.90  1.96 
 32  7 'rK0V' 53   1.48  2.10  2.01  2.07 
 33  4 'K2V'  50   1.63  2.13  2.22  2.29 
 34  5 'K3V'  50   1.78  2.32  2.42  2.50 
 35  0 'K4V'  50   1.94  2.52  2.63  2.72 
 36  0 'K5V'  50   2.13  2.74  2.85  2.95 
 37  5 'K7V'  50   2.35  3.01  3.16  3.27 
 38  0 'M0V'  50   2.81  3.48  3.65  3.79 
 39  0 'M1V'  50   2.93  3.59  3.87  4.02 
 40  3 'M2V'  50   3.25  3.91  4.11  4.27 
 41 4 'M2.5V' 50   3.52  4.17  4.38  4.56 
 42  0 'M3V'  50   3.78  4.42  4.65  4.85 
 43  0 'M4V'  50   4.39  5.01  5.28  5.51 
 44  3 'M5V'  50   5.22  5.84  6.17  6.46 
 45  0 'M6V'  50   6.33  6.99  7.37  7.73 
#uvi km  type pl    V-J   V-H   V-K  V-L  
 46  4 'B2IV' 40  -0.6  -0.7  -0.7  -0.8  
 47  0 'B6IV' 40  -0.3  -0.4  -0.4  -0.4  
 48  0 'A0IV' 40   0.0   0.0   0.0   0.0  
 49 0 'A47IV' 40   0.3   0.4   0.4   0.4  
 50 0 'F02IV' 40   0.6   0.7   0.75  0.8  
 51  1 'F5IV' 40   0.8   1.1   1.1   1.1  
 52  3 'F8IV' 40   1.03  1.32  1.37  1.41 
 53  0 'G0IV' 40   1.0   1.4   1.4   1.5  
 54  4 'G2IV' 40   1.1   1.4   1.5   1.5  
 55  0 'G5IV' 40   1.2   1.5   1.6   1.6  
 56  1 'G8IV' 40   1.39  1.72  1.78  1.85 
 57  0 'K0IV' 40   1.4   1.9   2.0   2.0  
 58  0 'K1IV' 40   1.5   2.0   2.1   2.1  
 59  0 'K3IV' 40   1.8   2.3   2.4   2.5  
#uvi km  type pl    V-J   V-H   V-K  V-L  
 60 4 'O8III' 30  -0.8  -0.8  -0.9  -0.9  
61 4 'B12III' 30  -0.5  -0.6  -0.7  -0.8  
 62 0 'B3III' 30  -0.5  -0.5  -0.5  -0.6  
 63 0 'B5III' 30  -0.3  -0.4  -0.4  -0.4  
 64 0 'B9III' 30  -0.1  -0.2  -0.2  -0.2  
